sourceId,sourceType,destinationId,destinationType,action,processName,timestamp,pid0,pid1
graph_head,process,mmc.exe,process,start,graph_head,-1,-1,85.0
mmc.exe,process,firefox.exe,process,start,mmc.exe,1557236748614000000,85,79.0
firefox.exe,process,mmc.exe,process,start,firefox.exe,1557236749730000000,79,77.0
firefox.exe,process,wordpad.exe,process,start,firefox.exe,1557237713704000000,79,88.0
firefox.exe,process,cmd.exe,process,start,firefox.exe,1557238847572000000,79,56.0
firefox.exe,process,notepad.exe,process,start,firefox.exe,1557238984570000000,79,58.0
firefox.exe,process,winword.exe,process,start,firefox.exe,1557239390666000000,79,60.0
firefox.exe,process,winword.exe,process,start,firefox.exe,1557239997548000000,79,62.0
firefox.exe,process,winword.exe,process,start,firefox.exe,1557240196852000000,79,66.0
firefox.exe,process,winword.exe,process,start,firefox.exe,1557240737222000000,79,69.0
firefox.exe,process,winword.exe,process,start,firefox.exe,1557240946336000000,79,72.0
firefox.exe,process,wordpad.exe,process,start,firefox.exe,1557241398264000000,79,75.0
firefox.exe,process,thunderbird.exe,process,start,firefox.exe,1557241829497000000,79,84.0
firefox.exe,process,winword.exe,process,start,firefox.exe,1557242335128000000,79,86.0
firefox.exe,process,winword.exe,process,start,firefox.exe,1557243367255000000,79,89.0
firefox.exe,process,firefox.exe,process,start,firefox.exe,1557243546775000000,79,74.0
firefox.exe,process,winword.exe,process,start,firefox.exe,1557243566731000000,79,19.0
202.157.156.182:80,socket,winword.exe,process,read,winword.exe,1557243664109000000,19,
202.157.156.182:80,socket,winword.exe,process,read,winword.exe,1557243664171000000,19,
64.111.217.170:80,socket,winword.exe,process,read,winword.exe,1557243664231000000,19,
64.111.217.170:80,socket,winword.exe,process,read,winword.exe,1557243664240000000,19,
195.198.89.6:80,socket,winword.exe,process,read,winword.exe,1557243664301000000,19,
195.198.89.6:80,socket,winword.exe,process,read,winword.exe,1557243664312000000,19,
winword.exe,process,firefox.exe,process,start,winword.exe,1557243664362000000,19,81.0
winword.exe,process,firefox.exe,process,start,winword.exe,1557243664377000000,19,80.0
80.92.64.146:80,socket,winword.exe,process,read,winword.exe,1557246971456000000,19,
80.92.64.146:80,socket,winword.exe,process,read,winword.exe,1557246971469000000,19,
winword.exe,process,firefox.exe,process,start,winword.exe,1557246971547000000,19,82.0
204.154.41.95:80,socket,winword.exe,process,read,winword.exe,1557246971561000000,19,
204.154.41.95:80,socket,winword.exe,process,read,winword.exe,1557246971570000000,19,
winword.exe,process,firefox.exe,process,start,winword.exe,1557246971612000000,19,20.0
winword.exe,process,212.97.132.103:80,socket,write,winword.exe,1557246971765000000,19,
winword.exe,process,212.97.132.103:80,socket,write,winword.exe,1557246971773000000,19,
winword.exe,process,firefox.exe,process,start,winword.exe,1557246971900000000,19,21.0
winword.exe,process,66.92.21.150:80,socket,write,winword.exe,1557247384237000000,19,
winword.exe,process,66.92.21.150:80,socket,write,winword.exe,1557247384277000000,19,
winword.exe,process,207.41.14.192:80,socket,write,winword.exe,1557247384304000000,19,
winword.exe,process,207.41.14.192:80,socket,write,winword.exe,1557247384316000000,19,
winword.exe,process,firefox.exe,process,start,winword.exe,1557247384364000000,19,22.0
firefox.exe,process,x.x.x.x,socket,write,firefox.exe,1557247384685000000,22,
firefox.exe,process,firefox.exe,process,start,firefox.exe,1557247385847000000,22,27.0
firefox.exe,process,x.x.x.x,socket,write,firefox.exe,1557247386414000000,27,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387378000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387473000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387478000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387498000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387512000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387518000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387564000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387625000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387636000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387653000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387678000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387696000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387725000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387760000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387769000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387782000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387794000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387825000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387855000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387876000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387891000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387908000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387910000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387916000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387930000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387946000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387959000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387963000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387967000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387973000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387987000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247387990000000,22,
firefox.exe,process,209.85.197.147:80,socket,write,firefox.exe,1557247387999000000,22,
firefox.exe,process,209.85.197.147:80,socket,write,firefox.exe,1557247388050000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247388060000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247388075000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247388084000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247388084000001,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247388086000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247388095000000,22,
firefox.exe,process,207.41.14.192:80,socket,write,firefox.exe,1557247388116000000,22,
